                                                                Profile results (total time)
Proc Name                                                                                                    Self CPU    Total CPU    Real Time     Overtime        Calls
/datum/visualnet/proc/updateVisibility                                                                          0.236        2.029        2.078        0.004       584085
/regex/proc/Find                                                                                                1.986        1.987        2.040        0.037        98788
/zone/proc/add_tile_air                                                                                         0.313        1.943        2.095        0.000       163917
/turf/space/Initialize                                                                                          0.732        1.934        2.015        0.000       231443
/turf/proc/make_air                                                                                             0.401        1.878        1.903        0.001       153353
/datum/random_map/automata/cave_system/apply_to_turf                                                            0.133        1.873        1.881        0.133        55488
/turf/simulated/wall/proc/update_material                                                                       0.102        1.810        1.800        0.000        13067
/datum/map_template/New                                                                                         0.001        1.794      111.544        0.000            8
/datum/visualnet/proc/majorChunkChange                                                                          0.690        1.789        1.780        0.003       160763
/dmm_suite/proc/create_atom                                                                                     0.369        1.730        1.745        0.001       263063
/obj/machinery/alarm/receive_signal                                                                             1.413        1.717        1.895        0.014      1913252
/datum/controller/subsystem/assets/Initialize                                                                   0.000        1.652        1.653        0.000            1
/proc/get_asset_datum                                                                                           0.000        1.651        1.650        0.000           14
/datum/asset/New                                                                                                0.000        1.651        1.650        0.000           14
/turf/simulated/proc/update_icon_edge                                                                           1.486        1.631        1.757        0.003       518965
/turf/simulated/mineral/proc/make_floor                                                                         0.023        1.623        1.613        0.023        13851
/turf/simulated/mineral/proc/update_general                                                                     0.019        1.600        1.592        0.019        13852
/datum/controller/subsystem/holomaps/Initialize                                                                 0.000        1.599        1.639        0.000            1
/datum/controller/subsystem/holomaps/proc/generateHoloMinimaps                                                  0.000        1.598        1.637        0.000            1
/turf/ChangeTurf                                                                                                0.032        1.528        1.505        0.000        15068
/turf/proc/ChangeTurf                                                                                           0.180        1.483        1.470        0.002        15068
/decl/flooring/proc/test_link                                                                                   1.109        1.474        1.505        0.001       323713
/turf/simulated/wall/proc/update_connections                                                                    0.252        1.474        1.442        0.001        30206
/turf/simulated/open/Initialize                                                                                 0.055        1.456        1.458        0.001        20017
/obj/machinery/atmospherics/unary/vent_pump/proc/broadcast_status                                               0.013        1.451        1.457        0.000         1448
/obj/machinery/atmospherics/unary/vent_scrubber/proc/broadcast_status                                           0.020        1.419        1.422        0.000         1288
/datum/gas_mixture/proc/adjust_multi                                                                            0.843        1.405        1.417        0.002       153727
/turf/proc/generate_missing_corners                                                                             0.263        1.364        1.378        0.009       119462
/proc/create_all_lighting_overlays                                                                              0.553        1.345        1.395        0.000            1
/datum/map_template/tether_lateload/away_debrisfield/on_map_loaded                                              0.000        1.296        1.437        0.000            1
/turf/simulated/wall/update_icon                                                                                0.600        1.210        1.206        0.001        34826
/proc/qdel                                                                                                      0.111        1.167        1.197        0.008        30076
/datum/controller/subsystem/xenoarch/Initialize                                                                 0.000        1.142        1.165        0.000            1
/datum/controller/subsystem/xenoarch/proc/SetupXenoarch                                                         0.841        1.141        1.164        0.109            1
/datum/controller/subsystem/holomaps/proc/generateHoloMinimap                                                   0.836        1.138        1.177        0.004           26
/datum/random_map/proc/get_map_cell                                                                             1.103        1.127        1.406        1.064      3019809
/datum/visualnet/proc/chunkGenerated                                                                            1.098        1.110        1.122        0.002       605336
/datum/controller/subsystem/lighting/proc/internal_process_overlays                                             0.128        1.036        1.401        0.000           78
/datum/lighting_corner/New                                                                                      0.784        1.033        1.043        0.015       131949
/obj/structure/proc/update_connections                                                                          0.275        0.977        0.978        0.003        13087
/atom/proc/cut_overlays                                                                                         0.946        0.957        1.061        0.091      1316613
/datum/gas_mixture/proc/update_values                                                                           0.937        0.943        1.006        0.002       656704
/datum/asset/spritesheet/vending/register                                                                       0.533        0.935        0.935        0.533            1
/obj/Destroy                                                                                                    0.026        0.919        0.940        0.002        28565
/atom/movable/lighting_overlay/proc/update_overlay                                                              0.907        0.909        0.935        0.010        94297
/turf/simulated/wall/r_wall/Initialize                                                                          0.003        0.903        0.879        0.000         4310
/obj/Destroy                                                                                                    0.013        0.893        0.905        0.000        28565
/atom/movable/Destroy                                                                                           0.011        0.882        0.898        0.003        28566
/atom/movable/Destroy                                                                                           0.024        0.870        0.884        0.004        28566
/turf/simulated/open/proc/update                                                                                0.048        0.856        0.843        0.000        20113
/atom/movable/Destroy                                                                                           0.064        0.824        0.842        0.006        28566
/atom/movable/lighting_overlay/New                                                                              0.230        0.796        0.756        0.000       198234
/turf/simulated/floor/levelupdate                                                                               0.240        0.789        0.862        0.003       208342
/obj/machinery/atmospherics/unary/vent_pump/atmos_init                                                          0.000        0.764        0.767        0.000          724
/obj/effect/Destroy                                                                                             0.019        0.755        0.763        0.000        23343
/obj/machinery/atmospherics/unary/vent_scrubber/atmos_init                                                      0.007        0.749        0.741        0.000          644
/obj/item/New                                                                                                   0.041        0.744        0.723        0.004        28012
/proc/GetAbove                                                                                                  0.425        0.722        0.848        0.000       842024
/decl/observ/register                                                                                           0.300        0.722        0.688        0.006        60638
/world/proc/increment_max_z                                                                                     0.451        0.716        0.715        0.173           17
/datum/map_template/tether_lateload/tether_plains/on_map_loaded                                                 0.000        0.715        0.771        0.000            1
/obj/machinery/computer/ship/helm/proc/get_known_sectors                                                        0.704        0.714        0.707        0.679         2107
/datum/gas_mixture/proc/merge                                                                                   0.431        0.704        0.739        0.002       163964
/datum/controller/subsystem/machines/proc/makepowernets                                                         0.000        0.703        0.704        0.000            1
/datum/controller/subsystem/machines/proc/setup_powernets_for_cables                                            0.003        0.703        0.703        0.003            1
/proc/propagate_network                                                                                         0.607        0.700        0.699        0.594           64
/turf/simulated/mineral/proc/get_cached_border                                                                  0.675        0.677        0.633        0.255       340423
/turf/space/proc/update_starlight                                                                               0.482        0.672        0.714        0.000       251842
/area/LateInitialize                                                                                            0.022        0.637        0.644        0.001          606
/datum/controller/subsystem/open_space/Initialize                                                               0.000        0.635        0.664        0.000            1
/obj/structure/catwalk/Initialize                                                                               0.006        0.613        0.629        0.000         2027
/turf/simulated/open/update_icon                                                                                0.235        0.612        0.626        0.004        29253
/obj/item/weapon/storage/Initialize                                                                             0.078        0.605        0.567        0.001         2151
/datum/random_map/automata/proc/cell_is_alive                                                                   0.543        0.567        0.798        0.539      2484690
/obj/structure/catwalk/update_icon                                                                              0.110        0.544        0.554        0.001         8729
/datum/asset/spritesheet/register                                                                               0.021        0.514        0.515        0.021            4
/datum/gas_mixture/proc/multiply                                                                                0.261        0.504        0.516        0.001       163919
/datum/controller/subsystem/proc/ignite                                                                         0.000        0.503        0.502        0.000          782
/datum/controller/master/proc/Loop                                                                              0.000        0.503        0.000        0.000            1
/datum/controller/master/proc/RunQueue                                                                          0.000        0.503        0.502        0.000          157
/datum/controller/master/proc/StartProcessing                                                                   0.000        0.503        0.000        0.000            1
/obj/machinery/atmospherics/pipe/hide                                                                           0.045        0.482        0.510        0.001        34439
/datum/asset/spritesheet/proc/ensure_stripped                                                                   0.334        0.475        0.474        0.334            4
/datum/controller/subsystem/open_space/fire                                                                     0.029        0.475        0.500        0.000            1
/datum/controller/subsystem/lighting/proc/internal_process_corners                                              0.069        0.466        0.475        0.000           78
/turf/simulated/floor/beach/sand/desert/Initialize                                                              0.007        0.449        0.459        0.000         8183
/datum/controller/subsystem/open_space/proc/update_turf                                                         0.014        0.446        0.449        0.000        20017
/turf/simulated/floor/proc/set_flooring                                                                         0.136        0.444        0.478        0.001        90922
/datum/asset/spritesheet/proc/Insert                                                                            0.413        0.435        0.429        0.413         1741
/atom/proc/Initialize                                                                                           0.427        0.431        0.472        0.005       621309
/datum/gas_mixture/proc/divide                                                                                  0.231        0.430        0.505        0.000       163917
/datum/controller/subsystem/garbage/fire                                                                        0.006        0.429        0.427        0.006            4
/datum/controller/subsystem/garbage/proc/HandlePreQueue                                                         0.006        0.423        0.421        0.000            4
/decl/observ/proc/register                                                                                      0.422        0.423        0.401        0.005        60638
/datum/controller/subsystem/garbage/proc/Queue                                                                  0.417        0.417        0.418        0.397         4221
/datum/random_map/noise/ore/New                                                                                 0.000        0.409        0.409        0.000            3
/datum/random_map/noise/New                                                                                     0.000        0.409        0.409        0.000            3
/obj/structure/closet/LateInitialize                                                                            0.012        0.408        0.396        0.000          846
/datum/lighting_corner/proc/update_overlays                                                                     0.397        0.398        0.409        0.009        89558
/atom/movable/Destroy                                                                                           0.011        0.395        0.414        0.001        28566
/datum/controller/subsystem/holomaps/proc/generateStationMinimap                                                0.127        0.389        0.389        0.126            7
/atom/Destroy                                                                                                   0.017        0.384        0.395        0.000        28566
/area/power_change                                                                                              0.003        0.377        0.373        0.000          669
/area/proc/power_change                                                                                         0.267        0.371        0.370        0.000          669
/icon/New                                                                                                       0.368        0.368        0.352        0.259         4067
/atom/Destroy                                                                                                   0.017        0.367        0.376        0.002        28566
/proc/getFlatIcon                                                                                               0.000        0.365        0.365        0.000           28
/proc/dirs_to_corner_states                                                                                     0.356        0.357        0.328        0.003        58100
/datum/controller/subsystem/overlays/fire                                                                       0.355        0.355        0.364        0.250          152
/datum/controller/subsystem/air/proc/connect                                                                    0.039        0.355        0.329        0.000         7727
/datum/asset/spritesheet/vore/register                                                                          0.000        0.353        0.354        0.000            1
/atom/Destroy                                                                                                   0.061        0.350        0.358        0.008        28566
/turf/simulated/floor/is_plating                                                                                0.337        0.345        0.448        0.001      1153086
/atom/proc/set_light                                                                                            0.149        0.341        0.357        0.000       263651
/area/LateInitialize                                                                                            0.001        0.332        0.335        0.000          606
/proc/create_objects_in_loc                                                                                     0.016        0.331        0.311        0.000          417
/turf/space/ChangeTurf                                                                                          0.002        0.330        0.309        0.000         3582
/obj/machinery/atmospherics/pipe/simple/update_icon                                                             0.192        0.330        0.324        0.000        41425
/obj/structure/table/Initialize                                                                                 0.026        0.329        0.315        0.000         2437
/datum/random_map/noise/ore/apply_to_turf                                                                       0.308        0.328        0.330        0.308        12675
/obj/effect/landmark/corpse/Initialize                                                                          0.000        0.323        0.323        0.000            3
/datum/random_map/noise/proc/subdivide                                                                          0.035        0.323        0.332        0.035         4095
/obj/effect/landmark/corpse/proc/createCorpse                                                                   0.003        0.323        0.323        0.002            3
/datum/controller/subsystem/air/proc/has_valid_zone                                                             0.308        0.318        0.357        0.000       749531
/obj/effect/floor_decal/Initialize                                                                              0.020        0.306        0.312        0.000        23013
/atom/movable/proc/doMove                                                                                       0.099        0.301        0.317        0.004        29932
/proc/HasAbove                                                                                                  0.291        0.299        0.383        0.000       842126
/obj/machinery/alarm/proc/master_is_operating                                                                   0.286        0.297        0.427        0.002       854821
/obj/machinery/atmospherics/pipe/simple/atmos_init                                                              0.088        0.292        0.307        0.000        11093
/turf/simulated/floor/water/Initialize                                                                          0.008        0.292        0.288        0.000         4204
/datum/controller/subsystem/overlays/Initialize                                                                 0.001        0.288        0.296        0.000            1
/datum/gas_mixture/proc/adjust_gas                                                                              0.284        0.288        0.343        0.000       615426
/turf/simulated/mineral/proc/(init)                                                                             0.287        0.288        0.318        0.000        77096
/obj/effect/floor_decal/proc/add_to_turf_decals                                                                 0.146        0.286        0.288        0.000        23013
/proc/hook_vr                                                                                                   0.182        0.285        0.264        0.007          349
/datum/turf_initializer/maintenance/InitializeTurf                                                              0.017        0.283        0.284        0.001         7510
/obj/random/Initialize                                                                                          0.000        0.277        0.271        0.000         2329
/proc/cached_icon_states                                                                                        0.274        0.274        0.280        0.202        13587
/datum/asset/spritesheet/proc/InsertAll                                                                         0.074        0.272        0.272        0.074            4
/datum/random_map/automata/cave_system/revive_cell                                                              0.217        0.272        0.286        0.216       182534
/obj/item/weapon/card/id/proc/set_id_photo                                                                      0.001        0.268        0.268        0.001            4
/mob/proc/set_id_info                                                                                           0.000        0.268        0.268        0.000            4
/atom/movable/proc/moveToNullspace                                                                              0.028        0.264        0.267        0.001        28567
/datum/Destroy                                                                                                  0.047        0.264        0.263        0.005        28936
/obj/random/proc/spawn_item                                                                                     0.010        0.256        0.247        0.000         2210
/datum/pipe_icon_manager/proc/get_atmos_icon                                                                    0.212        0.255        0.274        0.000        81800
/datum/lighting_corner/proc/update_active                                                                       0.247        0.251        0.251        0.003       131949
/datum/lighting_corner/proc/update_lumcount                                                                     0.245        0.246        0.314        0.005       522146
/datum/geosample/New                                                                                            0.033        0.241        0.243        0.001        59704
/dmm_suite/preloader/proc/load                                                                                  0.231        0.233        0.237        0.005        14843
/obj/structure/New                                                                                              0.013        0.231        0.219        0.000        14303
/dmm_suite/proc/trim_text                                                                                       0.039        0.221        0.235        0.001        57615
/mob/living/carbon/human/set_id_info                                                                            0.000        0.217        0.217        0.000            3
/datum/asset/spritesheet/pipes/register                                                                         0.000        0.216        0.216        0.000            1
/obj/machinery/atmospherics/pipe/manifold/update_icon                                                           0.055        0.209        0.237        0.000         5444
/datum/controller/subsystem/air/proc/merge                                                                      0.002        0.208        0.194        0.000         1806
/obj/machinery/alarm/Initialize                                                                                 0.003        0.207        0.205        0.000          737
/datum/geosample/proc/UpdateTurf                                                                                0.207        0.207        0.211        0.010        59704
/icon/proc/RscFile                                                                                              0.207        0.207        0.202        0.168         1800
/zone/proc/c_merge                                                                                              0.010        0.206        0.192        0.000         1806
/datum/pipeline/proc/build_pipeline                                                                             0.192        0.202        0.201        0.034          258
/turf/simulated/post_change                                                                                     0.021        0.199        0.214        0.000        14443
/icon/proc/DrawBox                                                                                              0.197        0.198        0.211        0.018       218513
/proc/get_flooring_data                                                                                         0.196        0.198        0.254        0.000       182861
/mob/living/Initialize                                                                                          0.000        0.197        0.196        0.000          169
/mob/living/Initialize                                                                                          0.001        0.196        0.195        0.000          169
/atom/proc/update_light                                                                                         0.024        0.195        0.189        0.000        20572
/proc/LinkBlocked                                                                                               0.065        0.193        0.188        0.007        50951
/turf/simulated/sky/virgo3b/Initialize                                                                          0.004        0.192        0.189        0.000         5342
/mob/Initialize                                                                                                 0.004        0.190        0.182        0.000          171
/regex/proc/Replace                                                                                             0.182        0.184        0.201        0.002        57615
/turf/proc/CardinalTurfs                                                                                        0.014        0.181        0.185        0.000         4982
/mob/living/simple_mob/Initialize                                                                               0.000        0.173        0.174        0.000          157
/dmm_suite/proc/find_next_delimiter_position                                                                    0.171        0.171        0.179        0.003        28873
/datum/light_source/New                                                                                         0.081        0.171        0.161        0.001        19550
/obj/item/Destroy                                                                                               0.001        0.170        0.191        0.001         2710
/obj/item/Destroy                                                                                               0.001        0.169        0.190        0.001         2710
/datum/controller/subsystem/persistence/Initialize                                                              0.003        0.168        0.167        0.002            1
/turf/proc/AdjacentTurfs                                                                                        0.024        0.167        0.175        0.003         4982
/atom/Entered                                                                                                   0.095        0.165        0.187        0.001        83172
/turf/space/Entered                                                                                             0.005        0.165        0.182        0.000         4575
/obj/machinery/alarm/proc/elect_master                                                                          0.164        0.164        0.166        0.001          407
/datum/persistent/proc/Initialize                                                                               0.024        0.163        0.164        0.018            5
/datum/controller/subsystem/open_space/proc/initialize_open_space                                               0.061        0.159        0.163        0.019            1
/obj/machinery/atmospherics/proc/add_underlay                                                                   0.062        0.156        0.183        0.000        22602
/datum/reagents/proc/add_reagent                                                                                0.045        0.156        0.133        0.000         6897
/obj/structure/window/New                                                                                       0.008        0.152        0.177        0.001         2133
/turf/proc/get_corners                                                                                          0.141        0.151        0.215        0.000       643046
/datum/proc/Destroy                                                                                             0.076        0.150        0.153        0.006        28936
/turf/simulated/floor/water/update_icon                                                                         0.025        0.147        0.161        0.001         5874
/obj/machinery/atmospherics/pipe/build_network                                                                  0.007        0.143        0.151        0.000        13241
/mob/living/carbon/human/Initialize                                                                             0.000        0.141        0.142        0.000            4
/turf/simulated/mineral/proc/MineralSpread                                                                      0.009        0.139        0.107        0.000         4657
/turf/Exited                                                                                                    0.016        0.136        0.141        0.000        26859
/obj/machinery/atmospherics/pipe/manifold/atmos_init                                                            0.014        0.135        0.144        0.000         1468
/obj/machinery/computer/area_atmos/Initialize                                                                   0.000        0.134        0.132        0.000            8
/turf/unsimulated/wall/planetary/Initialize                                                                     0.003        0.132        0.140        0.000         4164
/obj/machinery/computer/area_atmos/tag/scanscrubbers                                                            0.132        0.132        0.131        0.020            6
/obj/machinery/autolathe/Initialize                                                                             0.000        0.132        0.133        0.000            4
/datum/category_collection/New                                                                                  0.000        0.132        0.132        0.000            1
/datum/category_group/New                                                                                       0.008        0.132        0.131        0.007            7
/obj/machinery/Initialize                                                                                       0.045        0.132        0.122        0.001        29943
